"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.399970770E0,-9.576806799E-3,9.576806799E-3,9.816226959E0,9.816236302E0
1.409869135E0,6.224924326E-2,-2.873042040E-2,9.988609314E0,9.988844599E0
1.419983817E0,1.915361360E-2,-1.915361360E-2,1.008437729E1,1.008441367E1
1.429882158E0,-7.661445439E-2,-6.224924326E-2,9.979032516E0,9.979520765E0
1.440002329E0,-1.292868853E-1,-3.830722719E-2,9.830592155E0,9.831516906E0
1.450075414E0,-1.723825186E-1,3.830722719E-2,9.691728592E0,9.693337210E0
1.459969957E0,-7.661445439E-2,-4.788403399E-3,9.600749016E0,9.601055899E0
1.470030228E0,4.788403213E-2,-2.394201607E-2,9.686940193E0,9.687088128E0
1.479992864E0,7.661445439E-2,1.436521020E-2,9.811438560E0,9.811748201E0
1.489958182E0,1.197100878E-1,1.436521020E-2,9.854534149E0,9.855271694E0
1.500083841E0,1.149216816E-1,-3.830722719E-2,9.777919769E0,9.778670127E0
1.509974170E0,-4.788403213E-2,-4.788403399E-3,9.763554573E0,9.763673167E0
1.520249835E0,-2.442085743E-1,-9.576806799E-3,9.744400978E0,9.747465310E0
1.530331167E0,-4.405331016E-1,-2.394201607E-2,9.682151794E0,9.692198203E0
1.540261833E0,-3.399766386E-1,-5.267243832E-2,9.739612579E0,9.745686825E0
1.550193666E0,-6.703764945E-2,-4.788403213E-2,9.892841339E0,9.893184355E0
1.560035583E0,1.771709323E-1,-8.619125932E-2,9.921571732E0,9.923527805E0
1.570098541E0,2.681505978E-1,4.309562966E-2,9.916783333E0,9.920501683E0
1.580155020E0,2.154781520E-1,4.788403213E-2,9.821015358E0,9.823495629E0
1.590087260E0,1.819593310E-1,1.436521020E-2,9.624691010E0,9.626421588E0
1.600162380E0,9.576806799E-3,9.097966552E-2,9.576807022E0,9.577243954E0
1.609995940E0,-1.436520964E-1,7.182604820E-2,9.552865028E0,9.554215047E0
1.619981220E0,-1.580173075E-1,-3.830722719E-2,9.821015358E0,9.822361202E0
1.630076860E0,-1.915361285E-1,-1.628057212E-1,9.873687744E0,9.876887235E0
1.640138180E0,-2.633621991E-1,-1.675941199E-1,9.428366661E0,9.433533025E0
1.650155840E0,-1.340752989E-1,-2.873041928E-1,8.068459511E0,8.074686295E0
1.660095670E0,-6.224924326E-2,-3.830722719E-2,5.980715752E0,5.981162371E0
1.670143085E0,1.005564690E0,6.416460276E-1,5.080495834E0,5.218650007E0
1.680175292E0,1.096544385E0,-2.346317619E-1,2.245761156E0,2.510160318E0
1.690020896E0,-4.165911078E-1,-1.723825186E-1,1.340752989E-1,4.703616371E-1
1.700033698E0,-4.213795066E-1,-1.675941199E-1,1.580173075E-1,4.802269745E-1
1.710050099E0,-4.309563041E-1,-1.675941199E-1,1.675941199E-1,4.918322011E-1
1.720153299E0,-4.070142806E-1,-1.675941199E-1,1.628057212E-1,4.693123868E-1
1.730146399E0,-4.357447028E-1,-1.723825186E-1,1.675941199E-1,4.976715461E-1
1.740007449E0,-4.213795066E-1,-1.771709323E-1,2.011129409E-1,4.993962783E-1
1.750097474E0,-4.357447028E-1,-1.771709323E-1,2.059013397E-1,5.134767248E-1
1.760137487E0,-4.453215301E-1,-1.675941199E-1,2.059013397E-1,5.184538705E-1
1.770087993E0,-4.309563041E-1,-1.723825186E-1,2.202665508E-1,5.137668948E-1
1.780291746E0,-4.070142806E-1,-1.723825186E-1,2.442085743E-1,5.049892920E-1
1.790191123E0,-4.213795066E-1,-1.580173075E-1,2.537853718E-1,5.166596297E-1
1.800200811E0,-4.309563041E-1,-1.867477298E-1,2.825157940E-1,5.480996483E-1
1.810044155E0,-4.165911078E-1,-1.628057212E-1,2.920926213E-1,5.342021653E-1
1.820213327E0,-4.213795066E-1,-1.580173075E-1,2.633621991E-1,5.214305380E-1
1.830038413E0,-4.261679053E-1,-1.723825186E-1,3.112462163E-1,5.551657621E-1
1.840159456E0,-4.165911078E-1,-1.771709323E-1,3.399766386E-1,5.661464520E-1
1.850270478E0,-4.165911078E-1,-1.771709323E-1,3.303998411E-1,5.604478079E-1
1.860149989E0,-4.405331016E-1,-1.963245422E-1,3.734954596E-1,6.100095063E-1
1.869942744E0,-3.974374831E-1,-1.723825186E-1,3.878606856E-1,5.814707190E-1
1.880622122E0,-4.453215301E-1,-1.723825186E-1,4.070142806E-1,6.274453143E-1
1.890345311E0,-4.118026793E-1,-1.675941199E-1,4.213795066E-1,6.125601393E-1
1.900041905E0,-4.022258818E-1,-1.675941199E-1,4.309563041E-1,6.128595149E-1
1.909885202E0,-4.118026793E-1,-1.867477298E-1,4.213795066E-1,6.180751167E-1
1.919841851E0,-4.070142806E-1,-1.867477298E-1,4.501099288E-1,6.349285686E-1
1.929831175E0,-4.165911078E-1,-1.771709323E-1,4.692635238E-1,6.520321657E-1
1.939838837E0,-4.261679053E-1,-1.771709323E-1,4.979939461E-1,6.789746631E-1
1.949799668E0,-4.261679053E-1,-1.628057212E-1,4.932055473E-1,6.718455911E-1
1.959755084E0,-4.213795066E-1,-1.819593310E-1,5.123591423E-1,6.878820956E-1
1.969796792E0,-4.070142806E-1,-1.963245422E-1,5.267243981E-1,6.940047133E-1
1.979955646E0,-4.213795066E-1,-1.771709323E-1,5.554547906E-1,7.193610027E-1
1.990026573E0,-4.165911078E-1,-1.723825186E-1,5.793967843E-1,7.341420282E-1
2.000092036E0,-4.309563041E-1,-1.723825186E-1,6.224924326E-1,7.764894702E-1
2.010092268E0,-4.213795066E-1,-2.202665508E-1,6.512228847E-1,8.063307556E-1
2.019997884E0,-4.070142806E-1,-2.154781520E-1,7.469909191E-1,8.775459486E-1
