"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.455109500E-2,1.244984865E-1,-1.771709323E-1,9.519346237E0,9.521808767E0
2.459463700E-2,1.532289088E-1,-1.244984865E-1,9.969455719E0,9.971410447E0
3.442984700E-2,4.836287498E-1,-7.182604820E-2,1.032858658E1,1.034015263E1
4.435161900E-2,4.932055473E-1,-7.182604820E-2,1.029985619E1,1.031190807E1
5.421521300E-2,7.661445439E-2,1.915361360E-2,9.548076630E0,9.548403215E0
6.414693300E-2,-2.394201756E-1,2.873042040E-2,8.983044624E0,8.986280553E0
7.393656900E-2,-1.915361285E-1,-1.005564705E-1,9.131484985E0,9.134047062E0
8.374886200E-2,1.580173075E-1,-3.399766386E-1,9.777919769E0,9.785104425E0
9.366365500E-2,4.644751251E-1,-2.346317619E-1,1.011789608E1,1.013126894E1
1.035440200E-1,5.650315881E-1,-1.532289088E-1,1.013226128E1,1.014916048E1
1.132857400E-1,2.106897533E-1,-3.351882473E-2,9.888052940E0,9.890354121E0
1.231281370E-1,-5.267243832E-2,-4.309562966E-2,9.624691010E0,9.624931618E0
1.330217320E-1,-2.394201607E-2,-5.267243832E-2,9.519346237E0,9.519522067E0
1.430139720E-1,4.788403213E-2,-5.746084079E-2,9.749189377E0,9.749476301E0
1.527402230E-1,8.140286058E-2,-1.484405100E-1,9.782708168E0,9.784172940E0
1.627219950E-1,-9.576806799E-3,-1.197100878E-1,9.720458984E0,9.721200805E0
1.726089750E-1,-1.005564705E-1,-7.661445439E-2,9.548076630E0,9.548913483E0
1.825740800E-1,-1.197100878E-1,-1.149216816E-1,9.658209801E0,9.659635296E0
1.923728310E-1,-3.016694188E-1,-2.106897533E-1,9.734824181E0,9.741775836E0
2.022393430E-1,-6.703764945E-2,-1.723825186E-1,9.600749016E0,9.602530471E0
2.120974170E-1,-9.576806799E-3,-7.182604820E-2,9.629479408E0,9.629752041E0
2.219759590E-1,1.005564705E-1,9.576806799E-3,9.686940193E0,9.687466832E0
2.317746580E-1,4.309562966E-2,7.661445439E-2,9.710882187E0,9.711280032E0
2.417061170E-1,-8.619125932E-2,3.830722719E-2,9.615114212E0,9.615576826E0
2.515802330E-1,-1.340752989E-1,-1.149216816E-1,9.562441826E0,9.564072190E0
2.615329940E-1,-2.873042040E-2,-1.053448766E-1,9.648633003E0,9.649250842E0
2.713166410E-1,1.101332754E-1,-1.915361360E-2,9.725247383E0,9.725889824E0
2.811801840E-1,2.011129409E-1,-4.788403399E-3,9.725247383E0,9.727327794E0
2.911121120E-1,7.182604820E-2,-9.576806799E-3,9.686940193E0,9.687211209E0
3.008261230E-1,-1.436520964E-1,5.746084079E-2,9.528923035E0,9.530179005E0
3.108025310E-1,-3.543418646E-1,-8.619125932E-2,9.442731857E0,9.449771004E0
3.207203440E-1,-2.059013397E-1,-2.202665508E-1,9.433155060E0,9.437972616E0
3.307421160E-1,-9.576806799E-3,-1.675941199E-1,9.581595421E0,9.583065810E0
3.404493040E-1,1.723825186E-1,-9.576806426E-2,9.701305389E0,9.703309410E0
3.501488370E-1,-1.915361360E-2,3.351882473E-2,9.710882187E0,9.710958924E0
3.603338380E-1,-3.830722719E-2,-4.309562966E-2,9.825803757E0,9.825972936E0
3.698873280E-1,3.830722719E-2,-7.182604820E-2,9.806650162E0,9.806988010E0
3.799592560E-1,1.771709323E-1,4.788403399E-3,9.686940193E0,9.688561440E0
3.898736840E-1,2.825157940E-1,3.351882473E-2,9.844957352E0,9.849067161E0
3.995442060E-1,2.106897533E-1,1.149216816E-1,9.888052940E0,9.890964974E0
4.095404570E-1,2.106897533E-1,8.140286058E-2,9.806650162E0,9.809250939E0
4.194184790E-1,4.788403399E-3,-7.661445439E-2,9.552865028E0,9.553173449E0
4.292771260E-1,-1.101332754E-1,-7.661445439E-2,9.366117477E0,9.367078291E0
4.391631680E-1,4.788403399E-3,-7.182604820E-2,9.332598686E0,9.332876306E0
4.490849400E-1,1.101332754E-1,-8.619125932E-2,9.706093788E0,9.707101261E0
4.588869720E-1,2.394201607E-2,-1.197100878E-1,9.940725327E0,9.941474928E0
4.685970250E-1,6.703764945E-2,-2.011129409E-1,9.945513725E0,9.947772802E0
4.786286410E-1,-9.576806799E-3,-2.346317619E-1,9.758766174E0,9.761591111E0
4.883490070E-1,-2.873042040E-2,-5.746084079E-2,9.691728592E0,9.691941513E0
4.983680700E-1,2.585737705E-1,8.619125932E-2,9.667786598E0,9.671627941E0
5.084564040E-1,3.303998411E-1,6.224924326E-2,9.821015358E0,9.826768629E0
5.181228120E-1,1.484405100E-1,1.915361285E-1,9.983820915E0,9.986761274E0
5.279640110E-1,1.675941199E-1,1.867477298E-1,9.662998199E0,9.666255568E0
5.378216160E-1,7.182604820E-2,2.777273953E-1,9.418789864E0,9.423157326E0
5.477356270E-1,2.106897533E-1,3.016694188E-1,9.212887764E0,9.220232945E0
5.576829720E-1,1.149216816E-1,3.016694188E-1,9.255983353E0,9.261611051E0
5.674204210E-1,-4.788403399E-3,2.873041928E-1,9.361329079E0,9.365738025E0
5.772878700E-1,3.351882473E-2,5.746084079E-2,9.476250648E0,9.476484138E0
5.870293290E-1,1.436521020E-2,-5.746084079E-2,9.888052940E0,9.888230330E0
5.970185490E-1,-1.244984865E-1,-1.915361360E-2,9.744400978E0,9.745215090E0
6.069226120E-1,-7.661445439E-2,3.351882473E-2,9.538499832E0,9.538866407E0
6.166364670E-1,-5.267243832E-2,1.915361285E-1,9.500192642E0,9.502269240E0
6.266281350E-1,-1.388636976E-1,1.532289088E-1,9.509769440E0,9.512017505E0
6.364962090E-1,-7.182604820E-2,1.244984865E-1,9.629479408E0,9.630552037E0
6.464993870E-1,1.675941199E-1,8.619125932E-2,9.892841339E0,9.894636248E0
